date,App tipo Kwai,Ganhe dinheiro jogando,Ganhar dinheiro no celular,App dinheiro,Dinheiro em casa,Jogar e ganhar dinheiro
2016-03-20,0,39,19,11,69,0
2016-03-27,0,39,29,12,90,0
2016-04-03,0,0,0,12,79,34
2016-04-10,0,0,10,12,81,34
2016-04-17,0,76,28,11,66,0
2016-04-24,0,0,28,13,58,34
2016-05-01,0,39,19,7,70,0
2016-05-08,0,0,19,12,73,67
2016-05-15,0,0,28,13,67,34
2016-05-22,0,0,10,22,68,0
2016-05-29,0,0,10,8,78,35
2016-06-05,0,0,19,8,77,0
2016-06-12,0,0,19,12,62,0
2016-06-19,0,79,10,10,53,0
2016-06-26,0,0,10,11,70,0
2016-07-03,0,0,10,19,68,73
2016-07-10,0,0,41,10,72,0
2016-07-17,0,0,41,9,70,0
2016-07-24,0,83,31,15,75,37
2016-07-31,0,0,0,10,62,74
2016-08-07,0,0,0,21,38,0
2016-08-14,0,44,11,14,44,0
2016-08-21,0,0,0,9,64,0
2016-08-28,0,40,10,10,89,36
2016-09-04,0,0,30,20,45,0
2016-09-11,0,0,0,7,55,0
2016-09-18,0,0,29,15,58,0
2016-09-25,0,0,10,4,81,35
2016-10-02,0,38,19,18,72,0
2016-10-09,0,0,0,15,80,0
2016-10-16,0,0,0,14,57,0
2016-10-23,0,0,0,12,55,69
2016-10-30,0,0,29,7,60,35
2016-11-06,0,0,9,7,43,0
2016-11-13,0,0,10,3,61,34
2016-11-20,0,0,19,13,51,0
2016-11-27,0,0,9,9,52,32
2016-12-04,0,0,9,17,64,0
2016-12-11,0,0,9,3,51,66
2016-12-18,0,0,10,13,31,0
2016-12-25,0,0,0,14,29,35
2017-01-01,0,0,0,12,46,0
2017-01-08,0,0,0,12,74,0
2017-01-15,0,0,18,13,70,0
2017-01-22,0,0,0,18,66,0
2017-01-29,0,36,9,13,72,31
2017-02-05,0,0,0,14,58,0
2017-02-12,0,0,9,14,55,0
2017-02-19,0,0,44,11,60,0
2017-02-26,0,0,17,19,93,0
2017-03-05,0,34,0,11,58,0
2017-03-12,0,35,17,11,61,0
2017-03-19,0,0,0,16,60,31
2017-03-26,0,0,0,13,83,0
2017-04-02,0,0,0,18,63,0
2017-04-09,0,0,0,8,50,33
2017-04-16,0,0,0,13,84,63
2017-04-23,0,35,0,10,68,0
2017-04-30,0,36,18,10,53,32
2017-05-07,0,0,35,10,63,63
2017-05-14,0,0,9,9,40,0
2017-05-21,0,0,0,8,67,0
2017-05-28,0,0,19,12,47,0
2017-06-04,0,37,9,17,54,0
2017-06-11,0,0,19,11,47,34
2017-06-18,0,37,9,35,62,0
2017-06-25,0,0,29,49,63,34
2017-07-02,0,0,58,19,75,0
2017-07-09,0,39,10,33,48,0
2017-07-16,0,39,0,35,83,0
2017-07-23,0,0,28,39,65,0
2017-07-30,0,0,18,22,50,33
2017-08-06,0,37,9,23,60,0
2017-08-13,0,0,9,24,42,0
2017-08-20,0,0,9,20,77,0
2017-08-27,0,0,27,14,54,0
2017-09-03,0,0,18,15,68,0
2017-09-10,0,71,18,13,48,0
2017-09-17,0,0,18,13,51,0
2017-09-24,0,0,0,18,65,0
2017-10-01,0,0,18,25,57,0
2017-10-08,0,0,0,15,34,0
2017-10-15,0,0,27,18,61,0
2017-10-22,0,0,17,14,44,0
2017-10-29,0,35,35,16,52,0
2017-11-05,0,0,9,25,63,0
2017-11-12,0,0,17,23,35,0
2017-11-19,0,34,0,13,62,0
2017-11-26,0,0,0,13,39,0
2017-12-03,0,0,35,17,45,0
2017-12-10,0,0,9,9,39,0
2017-12-17,0,0,9,10,23,0
2017-12-24,0,0,19,21,37,0
2017-12-31,0,0,27,15,47,0
2018-01-07,0,68,8,19,64,0
2018-01-14,0,34,0,14,61,0
2018-01-21,0,0,25,8,55,0
2018-01-28,0,0,42,15,55,0
2018-02-04,0,0,8,12,55,30
2018-02-11,0,0,0,18,46,30
2018-02-18,0,0,25,12,48,30
2018-02-25,0,33,16,14,73,0
2018-03-04,0,33,16,16,45,0
2018-03-11,0,0,16,19,56,0
2018-03-18,0,0,17,15,51,0
2018-03-25,0,0,9,20,55,0
2018-04-01,0,0,25,22,67,0
2018-04-08,0,0,8,22,69,0
2018-04-15,0,0,25,12,65,30
2018-04-22,0,0,0,13,66,29
2018-04-29,0,0,0,19,56,0
2018-05-06,0,0,8,14,67,0
2018-05-13,0,0,8,19,42,0
2018-05-20,0,0,8,12,56,0
2018-05-27,0,0,17,13,54,0
2018-06-03,0,0,17,17,44,30
2018-06-10,0,0,25,25,34,29
2018-06-17,0,0,17,23,55,89
2018-06-24,0,0,25,23,59,0
2018-07-01,0,34,17,13,57,30
2018-07-08,0,0,0,21,68,30
2018-07-15,0,35,17,18,61,61
2018-07-22,0,34,34,13,52,30
2018-07-29,0,0,16,20,53,0
2018-08-05,0,0,16,16,51,0
2018-08-12,0,0,0,12,55,0
2018-08-19,0,0,0,17,46,30
2018-08-26,0,34,17,16,55,60
2018-09-02,0,0,8,25,52,0
2018-09-09,0,0,16,15,35,29
2018-09-16,0,33,8,15,43,0
2018-09-23,0,0,8,26,48,29
2018-09-30,0,0,8,23,56,59
2018-10-07,0,0,8,25,53,0
2018-10-14,0,0,17,15,47,0
2018-10-21,0,0,8,15,50,0
2018-10-28,0,0,8,15,77,29
2018-11-04,0,0,8,24,49,0
2018-11-11,0,0,8,13,41,29
2018-11-18,0,0,16,20,63,29
2018-11-25,0,0,8,21,53,0
2018-12-02,0,0,16,21,45,0
2018-12-09,0,0,8,14,40,0
2018-12-16,0,0,26,16,52,0
2018-12-23,0,0,9,14,44,0
2018-12-30,0,0,18,18,46,0
2019-01-06,0,100,16,19,58,29
2019-01-13,0,0,16,14,52,29
2019-01-20,0,32,24,24,74,0
2019-01-27,0,0,8,16,48,0
2019-02-03,0,32,0,19,70,0
2019-02-10,0,0,16,22,33,0
2019-02-17,0,0,8,20,51,0
2019-02-24,0,0,8,19,32,28
2019-03-03,0,33,8,12,37,29
2019-03-10,0,0,8,16,48,0
2019-03-17,0,0,0,20,54,0
2019-03-24,0,33,32,25,42,57
2019-03-31,0,0,8,19,58,0
2019-04-07,0,33,16,24,57,29
2019-04-14,0,34,17,27,33,30
2019-04-21,0,33,8,16,53,0
2019-04-28,0,0,0,27,39,29
2019-05-05,0,0,0,21,53,29
2019-05-12,0,0,0,23,60,0
2019-05-19,0,0,8,27,46,29
2019-05-26,0,0,16,21,49,0
2019-06-02,0,32,24,18,60,0
2019-06-09,0,32,8,18,36,0
2019-06-16,0,0,8,21,66,0
2019-06-23,0,0,16,18,55,0
2019-06-30,0,65,40,23,55,29
2019-07-07,0,0,24,22,51,0
2019-07-14,0,0,0,35,39,0
2019-07-21,0,0,8,20,72,0
2019-07-28,0,0,8,20,43,0
2019-08-04,0,0,0,21,41,0
2019-08-11,0,0,8,22,55,29
2019-08-18,0,32,16,19,53,28
2019-08-25,0,0,16,18,50,28
2019-09-01,0,0,0,25,43,0
2019-09-08,0,0,8,23,40,55
2019-09-15,0,0,23,17,49,28
2019-09-22,0,0,30,18,41,0
2019-09-29,0,31,8,22,43,27
2019-10-06,0,0,30,15,45,27
2019-10-13,100,31,15,23,38,27
2019-10-20,0,0,8,25,36,0
2019-10-27,0,31,8,21,57,0
2019-11-03,0,0,15,18,36,0
2019-11-10,0,0,30,26,46,27
2019-11-17,0,30,22,18,47,0
2019-11-24,0,0,15,30,49,27
2019-12-01,0,0,0,20,43,27
2019-12-08,0,31,31,26,49,0
2019-12-15,0,0,23,22,35,27
2019-12-22,0,0,0,19,34,0
2019-12-29,0,0,8,18,43,0
2020-01-05,0,30,7,34,62,52
2020-01-12,0,0,21,33,46,25
2020-01-19,0,0,0,30,52,26
2020-01-26,0,59,0,26,45,0
2020-02-02,0,0,14,32,35,26
2020-02-09,0,29,0,30,69,26
2020-02-16,0,0,7,30,65,0
2020-02-23,0,28,14,23,47,25
2020-03-01,0,0,34,24,59,0
2020-03-08,0,0,7,22,59,24
2020-03-15,0,27,0,34,75,24
2020-03-22,0,0,52,47,70,0
2020-03-29,0,26,19,62,78,23
2020-04-05,0,27,20,86,72,0
2020-04-12,0,26,33,85,100,70
2020-04-19,0,0,26,98,85,46
2020-04-26,0,0,6,97,69,0
2020-05-03,0,26,19,59,75,0
2020-05-10,0,53,13,52,78,0
2020-05-17,0,54,20,50,85,24
2020-05-24,0,0,7,57,70,48
2020-05-31,0,0,19,62,84,0
2020-06-07,0,26,20,46,70,23
2020-06-14,0,0,7,43,70,24
2020-06-21,0,0,7,39,78,74
2020-06-28,0,0,41,51,64,0
2020-07-05,0,56,28,55,46,25
2020-07-12,0,0,28,66,42,0
2020-07-19,0,0,36,37,50,25
2020-07-26,0,0,7,39,81,26
2020-08-02,0,28,21,50,61,100
2020-08-09,0,28,28,40,63,0
2020-08-16,0,0,42,41,67,25
2020-08-23,0,28,14,41,36,0
2020-08-30,0,27,7,42,46,24
2020-09-06,0,27,27,38,39,0
2020-09-13,0,27,27,31,46,24
2020-09-20,0,0,34,30,48,96
2020-09-27,0,0,7,35,62,49
2020-10-04,0,0,7,43,51,50
2020-10-11,0,0,44,36,38,0
2020-10-18,0,0,15,30,45,52
2020-10-25,0,29,22,35,53,0
2020-11-01,0,28,41,40,47,24
2020-11-08,0,0,36,49,57,0
2020-11-15,0,29,36,37,65,25
2020-11-22,0,0,21,46,47,26
2020-11-29,0,0,35,32,47,0
2020-12-06,0,0,43,31,45,0
2020-12-13,0,58,29,44,36,0
2020-12-20,0,64,16,29,41,56
2020-12-27,0,0,23,46,40,0
2021-01-03,0,29,64,47,53,25
2021-01-10,0,0,29,43,56,0
2021-01-17,0,29,28,56,54,25
2021-01-24,0,29,29,73,78,0
2021-01-31,0,87,14,72,49,52
2021-02-07,93,29,49,74,63,0
2021-02-14,0,0,72,71,58,52
2021-02-21,0,58,50,73,59,51
2021-02-28,0,0,100,81,68,51
2021-03-07,0,87,93,88,54,51
2021-03-14,0,0,44,100,81,40
